wavelength,ion,,,,,
770.409,Ne VIII,,,,,
780.324,Ne VIII,,,,,
937.814,Ly_,,,,,
949.742,Ly_,,,,,
977.03,C III,,,,,
989.79,N III,,,,,
991.514,N III,,,,,
991.579,N III,,,,,
1025.722,Ly_,,,,,
1031.912,O VI,,,,,
1037.613,O VI,,,,,
1066.66,Ar I,,,,,
1215.67,Ly_,,,,,
1238.821,N V,,,,,
1242.804,N V,,,,,
1260.422,Si II,,,,,
1264.73,Si II,,,,,
1302.168,O I,,,,,
1334.532,C II,,,,,
1335.708,C II,,,,,
1393.755,Si IV,,,,,
1402.77,Si IV,,,,,
1486.496,N IV],,,,,
1548.187,C IV,,,,,
1550.772,C IV,,,,,
1640.42,He II,,,,,
1660.809,O III],,,,,
1666.15,O III],,,,,
1746.823,N III],,,,,
1748.656,N III],,,,,
1854.716,Al III,,,,,
1862.79,Al III,,,,,
1892.03,Si III],,,,,
1908.734,C III],,,,,
2142.78,N II],,,,,
2320.951,[O III],,,,,
2323.5,C II],,,,,
2324.69,C II],,,,,
2648.71,[Fe XI],,,,,
2733.289,He II,,,,,
2782.7,[Mg V],,,,,
2795.528,Mg II],,,,,
2802.705,Mg II],,,,,
2829.36,[Fe IV],,,,,
2835.74,[Fe IV],,,,,
2853.67,[Ar IV],,,,,
2868.21,[Ar IV],,,,,
2928,[Mg V],,,,,
2945.106,He I,,,,,
3132.794,O III,,,,,
3187.745,He I,,,,,
3203.1,He II,,,,,
3312.329,O III,,,,,
3345.821,[Ne V],,,,,
3425.881,[Ne V],,,,,
3444.052,O III,,,,,
3466.497,[N I],,,,,
3466.543,[N I],,,,,
3487.727,He I,,,,,
3586.32,[Fe VII],,,,,
3662.5,[Fe VI],,,,,
3686.831,H19,,,,,
3691.551,H18,,,,,
3697.157,H17,,,,,
3703.859,H16,,,,,
3711.977,H15,,,,,
3721.945,H14,,,,,
3726.032,[O II],,,,,
3728.815,[O II],,,,,
3734.369,H13,,,,,
3750.158,H12,,,,,
3758.92,[Fe VII],,,,,
3770.637,H11,,,,,
3797.904,H10,,,,,
3835.391,H9,,,,,
3839.27,[Fe V],,,,,
3868.76,[Ne III],,,,,
3888.647,He I,,,,,
3889.064,H8,,,,,
3891.28,[Fe V],,,,,
3911.33,[Fe V],,,,,
3967.47,[Ne III],,,,,
3970.079,H_,,,,,
4026.19,He I,,,,,
4068.6,[S II],,,,,
4071.24,[Fe V],,,,,
4076.349,[S II],,,,,
4101.742,H_,,,,,
4143.761,He I,,,,,
4178.862,Fe II,,,,,
4180.6,[Fe V],,,,,
4233.172,Fe II,,,,,
4227.19,[Fe V],,,,,
4287.394,[Fe II],,,,,
4303.176,Fe II,,,,,
4317.139,O II,,,,,
4340.471,H_,,,,,
4363.21,[O III],,,,,
4412.3,[Ar XIV],,,,,
4414.899,O II,,,,,
4416.83,Fe II,,,,,
4452.098,[Fe II],,,,,
4471.479,He I,,,,,
4489.183,Fe II,,,,,
4491.405,Fe II,,,,,
4510.91,N III,,,,,
4522.634,Fe II,,,,,
4555.893,Fe II,,,,,
4582.835,Fe II,,,,,
4583.837,Fe II,,,,,
4629.339,Fe II,,,,,
4634.14,N III,,,,,
4640.64,N III,,,,,
4641.85,N III,,,,,
4647.42,C III,,,,,
4650.25,C III,,,,,
4651.47,C III,,,,,
4658.05,[Fe III],,,,,
4685.71,He II,,,,,
4711.26,[Ar IV],,,,,
4740.12,[Ar IV],,,,,
4861.333,H_,,,,,
4893.37,[Fe VII],,,,,
4903.07,[Fe IV],,,,,
4923.927,Fe II,,,,,
4958.911,[O III],,,,,
5006.843,[O III],,,,,
5018.44,Fe II,,,,,
5084.77,[Fe III],,,,,
5145.75,[Fe VI],,,,,
5158.89,[Fe VII],,,,,
5169.033,Fe II,,,,,
5176.04,[Fe VI],,,,,
5197.577,Fe II,,,,,
5200.257,[N I],,,,,
5234.625,Fe II,,,,,
5236.06,[Fe IV],,,,,
5270.4,[Fe III],,,,,
5276.002,Fe II,,,,,
5276.38,[Fe VII],,,,,
5302.86,[Fe XIV],,,,,
5309.11,[Ca V],,,,,
5316.615,Fe II,,,,,
5316.784,Fe II,,,,,
5335.18,[Fe VI],,,,,
5424.22,[Fe VI],,,,,
5517.709,[Cl III],,,,,
5537.873,[Cl III],,,,,
5637.6,[Fe VI],,,,,
5677,[Fe VI],,,,,
5695.92,C III,,,,,
5720.7,[Fe VII],,,,,
5754.59,[N II],,,,,
5801.33,C IV,,,,,
5811.98,C IV,,,,,
5875.624,He I,,,,,
6046.44,O I,,,,,
6087,[Fe VII],,,,,
6300.304,[O I],,,,,
6312.06,[S III],,,,,
6347.1,Si II,,,,,
6363.776,[O I],,,,,
6369.462,Fe II,,,,,
6374.51,[Fe X],,,,,
6516.081,Fe II,,,,,
6548.05,[N II],,,,,
6562.819,H_,,,,,
6583.46,[N II],,,,,
6716.44,[S II],,,,,
6730.81,[S II],,,,,
7002.23,O I,,,,,
7005.87,[Ar V],,,,,
7065.196,He I,,,,,
7135.79,[Ar III],,,,,
7155.157,[Fe II],,,,,
7170.62,[Ar IV],,,,,
7172,[Fe II],,,,,
7236.42,C II,,,,,
7237.26,[Ar IV],,,,,
7254.448,O I,,,,,
7262.76,[Ar IV],,,,,
7281.349,He I,,,,,
7319.99,[O II],,,,,
7330.73,[O II],,,,,
7377.83,[Ni II],,,,,
7411.16,[Ni II],,,,,
7452.538,[Fe II],,,,,
7468.31,N I,,,,,
7611,[S XII],,,,,
7751.06,[Ar III],,,,,
7816.136,He I,,,,,
7868.194,Ar I,,,,,
7889.9,[Ni III],,,,,
7891.8,[Fe XI],,,,,
8236.79,He II,,,,,
8392.397,Pa20,,,,,
8413.318,Pa19,,,,,
8437.956,Pa18,,,,,
8446.359,O I,,,,,
8467.254,Pa17,,,,,
8498.02,Ca II,,,,,
8502.483,Pa16,,,,,
8542.09,Ca II,,,,,
8545.383,Pa15,,,,,
8578.7,[Cl II],,,,,
8598.392,Pa14,,,,,
8616.95,[Fe II],,,,,
8662.14,Ca II,,,,,
8665.019,Pa13,,,,,
8680.282,N I,,,,,
8703.247,N I,,,,,
8711.703,N I,,,,,
8750.472,Pa12,,,,,
8862.782,Pa11,,,,,
8891.91,[Fe II],,,,,
9014.909,Pa10,,,,,
9068.6,[S III],,,,,
9229.014,Pa9,,,,,
9531.1,[S III],,,,,
9545.969,Pa_,,,,,
9824.13,[C I],,,,,
9850.26,[C I],,,,,
9913,[S VIII],,,,,
10027.73,He I,,,,,
10031.16,He I,,,,,
10049.368,Pa_,,,,,
10286.73,[S II],,,,,
10320.49,[S II],,,,,
10336.41,[S II],,,,,
10746.8,[Fe XIII],,,,,
10830.34,He I,,,,,
10938.086,Pa_,,,,,